iter	Passed	Remaining
599	927	618
600	928	616
601	929	614
602	931	612
603	932	611
604	933	609
605	935	608
606	936	606
607	937	604
608	939	603
609	941	601
610	942	599
611	943	598
612	944	596
613	945	594
614	946	592
615	947	590
616	948	588
617	949	586
618	950	585
619	951	583
620	953	581
621	954	580
622	955	578
623	956	576
624	957	574
625	958	572
626	959	570
627	960	569
628	962	567
629	964	566
630	965	564
631	967	563
632	969	562
633	971	560
634	973	559
635	974	557
636	976	556
637	978	555
638	980	554
639	983	553
640	985	551
641	987	550
642	988	549
643	991	547
644	992	546
645	994	544
646	995	543
647	997	541
648	999	540
649	1000	538
650	1001	537
651	1003	535
652	1004	533
653	1005	531
654	1006	530
655	1008	528
656	1009	526
657	1010	525
658	1011	523
659	1013	522
660	1014	520
661	1016	518
662	1017	517
663	1018	515
664	1019	513
665	1021	512
666	1022	510
667	1024	509
668	1025	507
669	1028	506
670	1029	504
671	1030	503
672	1032	501
673	1033	499
674	1034	498
675	1036	496
676	1037	495
677	1039	493
678	1040	492
679	1042	490
680	1043	489
681	1045	487
682	1046	485
683	1047	483
684	1048	482
685	1049	480
686	1050	478
687	1051	476
688	1052	475
689	1053	473
690	1054	471
691	1056	470
692	1058	468
693	1059	467
694	1060	465
695	1061	463
696	1063	462
697	1064	460
698	1065	458
699	1066	457
700	1067	455
701	1068	453
702	1069	451
703	1070	450
704	1072	448
705	1073	447
706	1074	445
707	1075	443
708	1076	442
709	1077	440
710	1078	438
711	1079	436
712	1080	435
713	1081	433
714	1082	431
715	1083	429
716	1084	428
717	1085	426
718	1087	425
719	1088	423
720	1089	421
721	1090	420
722	1092	418
723	1094	417
724	1095	415
725	1096	413
726	1097	412
727	1099	410
728	1100	409
729	1102	407
730	1104	406
731	1105	404
732	1106	402
733	1107	401
734	1108	399
735	1109	397
736	1110	396
737	1111	394
738	1112	392
739	1113	391
740	1114	389
741	1115	387
742	1117	386
743	1118	384
744	1119	383
745	1120	381
746	1121	379
747	1122	378
748	1123	376
749	1124	374
750	1125	373
751	1126	371
752	1127	369
753	1128	368
754	1129	366
755	1130	364
756	1132	363
757	1133	361
758	1134	360
759	1135	358
760	1136	357
761	1137	355
762	1138	353
763	1139	352
764	1140	350
765	1142	348
766	1143	347
767	1144	345
768	1145	343
769	1146	342
770	1148	341
771	1149	339
772	1151	338
773	1152	336
774	1153	334
775	1154	333
776	1155	331
777	1156	330
778	1158	328
779	1159	326
780	1160	325
781	1162	324
782	1163	322
783	1165	321
784	1166	319
785	1168	318
786	1169	316
787	1171	315
788	1172	313
789	1173	311
790	1175	310
791	1177	309
792	1178	307
793	1180	306
794	1182	304
795	1183	303
796	1185	301
797	1187	300
798	1189	299
799	1190	297
800	1192	296
801	1193	294
802	1195	293
803	1196	291
804	1198	290
805	1199	288
806	1201	287
807	1203	285
808	1204	284
809	1206	282
810	1207	281
811	1209	279
812	1210	278
813	1211	276
814	1212	275
815	1213	273
816	1215	272
817	1217	270
818	1218	269
819	1219	267
820	1221	266
821	1222	264
822	1223	263
823	1225	261
824	1226	260
825	1227	258
826	1228	257
827	1229	255
828	1231	254
829	1233	252
830	1234	251
831	1236	249
832	1237	248
833	1239	246
834	1240	245
835	1241	243
836	1243	242
837	1244	240
838	1246	239
839	1247	237
840	1248	236
841	1250	234
842	1251	233
843	1252	231
844	1253	229
845	1254	228
846	1255	226
847	1256	225
848	1258	223
849	1259	222
850	1262	221
851	1263	219
852	1265	218
853	1266	216
854	1267	214
855	1268	213
856	1269	211
857	1270	210
858	1272	208
859	1273	207
860	1274	205
861	1275	204
862	1276	202
863	1277	201
864	1278	199
865	1279	198
866	1280	196
867	1281	194
868	1283	193
869	1284	191
870	1285	190
871	1286	188
872	1287	187
873	1288	185
874	1290	184
875	1291	182
876	1292	181
877	1293	179
878	1294	178
879	1295	176
880	1297	175
881	1298	173
882	1299	172
883	1300	170
884	1301	169
885	1302	167
886	1303	166
887	1304	164
888	1306	163
889	1307	161
890	1308	160
891	1309	158
892	1310	157
893	1311	155
894	1312	154
895	1313	152
896	1314	150
897	1315	149
898	1316	147
899	1317	146
900	1318	144
901	1320	143
902	1321	141
903	1322	140
904	1323	138
905	1324	137
906	1325	135
907	1326	134
908	1327	132
909	1328	131
910	1330	129
911	1331	128
912	1332	126
913	1333	125
914	1335	124
915	1337	122
916	1338	121
917	1340	119
918	1341	118
919	1342	116
920	1343	115
921	1344	113
922	1345	112
923	1346	110
924	1347	109
925	1348	107
926	1350	106
927	1353	104
928	1354	103
929	1356	102
930	1357	100
931	1358	99
932	1360	97
933	1361	96
934	1362	94
935	1363	93
936	1365	91
937	1366	90
938	1367	88
939	1368	87
940	1369	85
941	1370	84
942	1371	82
943	1372	81
944	1373	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1379	72
950	1380	71
951	1382	69
952	1384	68
953	1385	66
954	1386	65
955	1387	63
956	1389	62
957	1391	61
958	1393	59
959	1397	58
960	1400	56
961	1402	55
962	1403	53
963	1404	52
964	1405	50
965	1407	49
966	1408	48
967	1410	46
968	1411	45
969	1412	43
970	1413	42
971	1414	40
972	1415	39
973	1417	37
974	1418	36
975	1419	34
976	1420	33
977	1421	31
978	1422	30
979	1423	29
980	1425	27
981	1426	26
982	1427	24
983	1428	23
984	1429	21
985	1430	20
986	1431	18
987	1432	17
988	1433	15
989	1434	14
990	1435	13
991	1436	11
992	1437	10
993	1438	8
994	1440	7
995	1441	5
996	1442	4
997	1443	2
998	1444	1
999	1445	0
